iter	Passed	Remaining
0	1	145
1	2	136
2	4	140
3	7	191
4	10	206
5	13	205
6	14	191
7	15	180
8	17	178
9	28	255
10	29	241
11	31	228
12	35	236
13	42	261
14	44	250
15	48	255
16	51	249
17	52	239
18	53	229
19	60	242
20	62	233
21	63	224
22	64	216
23	70	222
24	78	234
25	89	253
26	93	251
27	94	243
28	101	248
29	104	243
30	110	246
31	112	238
32	117	239
33	119	232
34	121	224
35	122	217
36	129	220
37	131	214
38	132	207
39	137	205
40	140	202
41	141	195
42	143	189
43	147	187
44	149	182
45	151	177
46	162	183
47	164	178
48	174	181
49	175	175
50	178	171
51	180	166
52	184	164
53	187	159
54	189	154
55	190	149
56	198	149
57	199	144
58	210	145
59	219	146
60	220	141
61	222	136
62	226	132
63	228	128
64	234	126
65	235	121
66	237	116
67	238	112
68	244	109
69	245	105
70	246	100
71	248	96
72	253	93
73	255	89
74	256	85
75	258	81
76	262	78
77	264	74
78	265	70
79	267	66
80	268	63
81	277	60
82	278	57
83	279	53
84	281	49
85	289	47
86	291	43
87	292	39
88	294	36
89	299	33
90	300	29
91	301	26
92	303	22
93	307	19
94	310	16
95	311	12
96	312	9
97	313	6
98	316	3
99	319	0
